time,PWM0,PWM1,PWM2,PWM3
1.860000,32878,32574,32524,32631
1.870000,33070,32689,32318,32571
1.880000,32875,32647,32637,32531
1.890000,32418,32385,33125,32690
1.900000,32326,32545,33205,32504
1.910000,32290,32681,33128,32428
1.920000,32364,32610,32946,32600
1.930000,32448,32392,32848,32905
1.940000,32503,32501,32888,32826
1.950000,32573,32748,32881,32585
1.960000,32484,32816,32939,32526
1.970000,32514,32746,32800,32690
1.980000,32697,32835,32616,32662
1.990000,32845,32784,32520,32749
2.000000,32718,32645,32685,32919
2.010000,32807,32573,32626,33032
2.020000,32893,32592,32650,32997
2.030000,32948,32622,32650,32966
2.040000,33071,32814,32614,32732
2.050000,32869,32824,32866,32638
2.060000,32634,32742,33070,32657
2.070000,32492,32764,33164,32596
2.080000,32280,32922,33319,32412
2.090000,32033,32969,33455,32358
2.100000,31943,33063,33468,32253
2.110000,32036,33072,33275,32323
2.120000,32264,33004,33009,32512
2.130000,32760,32948,32567,32706
2.140000,33126,33057,32420,32629
2.150000,33233,33007,32479,32664
2.160000,33244,32884,32625,32708
2.170000,33096,32763,32893,32715
2.180000,32858,32613,33159,32769
2.190000,32815,32486,33127,32912
2.200000,32816,32711,33154,32671
2.210000,32736,32888,33148,32541
2.220000,32551,32847,33225,32612
2.230000,32682,32871,33013,32678
2.240000,32649,32961,33024,32649
2.250000,32584,32895,32986,32810
2.260000,32717,32665,32802,33141
2.270000,32968,32821,32621,33066
2.280000,32994,32836,32665,33069
2.290000,33101,32871,32617,33041
2.300000,33141,33065,32642,32830
2.310000,32966,33263,32834,32555
2.320000,32748,33102,32948,32689
2.330000,32705,32913,32953,32860
2.340000,32503,32744,33182,32966
2.350000,32530,32807,33111,32947
2.360000,32711,32930,32963,32853
2.370000,32963,32991,32750,32833
2.380000,33007,32827,32748,33012
2.390000,32938,32642,32943,33116
2.400000,33101,32605,32843,33157
2.410000,33119,32584,32937,33146
2.420000,33136,32529,32957,33205
2.430000,32864,32503,33271,33159
2.440000,32653,32595,33453,33004
2.450000,32563,32531,33406,33103
2.460000,32610,32603,33262,33126
2.470000,32962,32926,32864,32932
2.480000,32887,32895,32983,32952
2.490000,32844,32797,32996,33075
2.500000,32871,32756,32929,33174
2.510000,32836,32819,33009,33095
2.520000,32754,32970,33178,32849
2.530000,32739,33027,33100,32826
2.540000,32885,32838,32801,33160
2.550000,33059,32994,32690,33053
2.560000,33119,33137,32754,32833
2.570000,33100,33198,32844,32668
2.580000,33042,33397,32881,32405
2.590000,33138,33438,32632,32435
2.600000,33293,33348,32343,32659
2.610000,33139,33064,32559,32922
2.620000,33067,33025,32692,32925
2.630000,32940,32978,32859,32918
2.640000,32877,32940,32963,32914
2.650000,32573,33022,33316,32734
2.660000,32555,33132,33258,32634
2.670000,32628,33115,33121,32708
2.680000,32510,33254,33253,32562
2.690000,32363,33194,33333,32624
2.700000,32452,32947,33131,32960
2.710000,32801,32838,32735,33243
2.720000,32974,32884,32679,33280
2.730000,32997,33127,32797,33025
2.740000,33065,33292,32846,32790
2.750000,32968,33076,32955,32977
2.760000,33039,33231,32954,32781
2.770000,33222,33379,32778,32639
2.780000,33364,33333,32654,32686
2.790000,33396,33049,32698,32934
2.800000,33248,32751,32887,33193
2.810000,33101,32519,33069,33377
2.820000,33021,32511,33132,33403
2.830000,32939,32533,33184,33405
2.840000,32983,32725,33172,33206
2.850000,33050,32857,33115,33060
2.860000,32959,32885,33200,33008
2.870000,32761,32801,33334,33079
2.880000,32759,32783,33236,33155
2.890000,32829,33077,33174,32879
2.900000,32884,33436,33095,32514
2.910000,32831,33389,33063,32574
2.920000,33033,33416,32738,32668
2.930000,33087,33407,32736,32671
2.940000,33085,33375,32768,32682
2.950000,33081,33249,32732,32828
2.960000,33272,33264,32510,32849
2.970000,33178,33279,32642,32780
2.980000,33024,32999,32724,33048
2.990000,32940,32829,32825,33186
