0.000000000000000000e+00,9.999984037504269230e-01
1.000000000000000021e-02,9.999926237316523192e-01
2.000000000000000042e-02,9.999871939914256602e-01
2.999999999999999889e-02,9.999827092628055247e-01
4.000000000000000083e-02,9.999746112297421829e-01
5.000000000000000278e-02,9.999614295925062235e-01
5.999999999999999778e-02,9.999445995085260996e-01
7.000000000000000666e-02,9.999250783262457754e-01
8.000000000000000167e-02,9.999023611698172331e-01
8.999999999999999667e-02,9.998763908997639893e-01
1.000000000000000056e-01,9.998474930378045133e-01
1.100000000000000006e-01,9.998157295495327945e-01
1.199999999999999956e-01,9.997825198975890393e-01
1.300000000000000044e-01,9.997478053011210619e-01
1.400000000000000133e-01,9.997112126317271308e-01
1.499999999999999944e-01,9.996736565500019545e-01
1.600000000000000033e-01,9.996352922053859391e-01
1.700000000000000122e-01,9.995960034383658543e-01
1.799999999999999933e-01,9.995566799349129283e-01
1.900000000000000022e-01,9.995170692429469206e-01
2.000000000000000111e-01,9.994772875256102695e-01
2.099999999999999922e-01,9.994371004122714064e-01
2.200000000000000011e-01,9.993958921083401226e-01
2.300000000000000100e-01,9.993532116420426048e-01
2.399999999999999911e-01,9.993097383145504997e-01
2.500000000000000000e-01,9.992659634096439092e-01
2.600000000000000089e-01,9.992224454452207638e-01
2.700000000000000178e-01,9.991791788762451887e-01
2.800000000000000266e-01,9.991364475010012791e-01
2.899999999999999800e-01,9.990938628944113775e-01
2.999999999999999889e-01,9.990500133176767328e-01
3.099999999999999978e-01,9.990044447872380440e-01
3.200000000000000067e-01,9.989597517734649657e-01
3.300000000000000155e-01,9.989168196244243569e-01
3.400000000000000244e-01,9.988737266544024385e-01
3.500000000000000333e-01,9.988301946729644110e-01
3.599999999999999867e-01,9.987874509182379512e-01
3.699999999999999956e-01,9.987454086267285591e-01
3.800000000000000044e-01,9.987042726733995623e-01
3.900000000000000133e-01,9.986649170301011846e-01
4.000000000000000222e-01,9.986276164455540894e-01
4.100000000000000311e-01,9.985905142687051539e-01
4.199999999999999845e-01,9.985533251851720360e-01
4.299999999999999933e-01,9.985191938043325166e-01
4.400000000000000022e-01,9.984864624536636812e-01
4.500000000000000111e-01,9.984544671472438404e-01
4.600000000000000200e-01,9.984258751584899061e-01
4.700000000000000289e-01,9.983981358851037324e-01
