0.000000000000000000e+00,-1.216175939097291362e-03
1.000000000000000021e-02,-2.684765871426188569e-03
2.000000000000000042e-02,-3.570568006633790398e-03
2.999999999999999889e-02,-4.050681093091060454e-03
4.000000000000000083e-02,-4.801937533304235020e-03
5.000000000000000278e-02,-5.638271615652380893e-03
5.999999999999999778e-02,-6.321032889574374966e-03
7.000000000000000666e-02,-6.768313984922977138e-03
8.000000000000000167e-02,-7.122566631826612177e-03
8.999999999999999667e-02,-7.348991226950278045e-03
1.000000000000000056e-01,-7.438352150317152460e-03
1.100000000000000006e-01,-7.512719683797697452e-03
1.199999999999999956e-01,-7.457203838409100748e-03
1.300000000000000044e-01,-7.272338136040400018e-03
1.400000000000000133e-01,-7.056803114735778551e-03
1.499999999999999944e-01,-6.729657571738371057e-03
1.600000000000000033e-01,-6.233685475626762895e-03
1.700000000000000122e-01,-5.743072479861274955e-03
1.799999999999999933e-01,-5.216611401347359331e-03
1.900000000000000022e-01,-4.647670949032358355e-03
2.000000000000000111e-01,-4.076819417798138723e-03
2.099999999999999922e-01,-3.409043119560301819e-03
2.200000000000000011e-01,-2.647476572267157009e-03
2.300000000000000100e-01,-1.826646781779550080e-03
2.399999999999999911e-01,-1.059205461849079726e-03
2.500000000000000000e-01,-2.218973444491966298e-04
2.600000000000000089e-01,6.029631022204603747e-04
2.700000000000000178e-01,1.361714250811469663e-03
2.800000000000000266e-01,2.120657540334636160e-03
2.899999999999999800e-01,2.890303785175400708e-03
2.999999999999999889e-01,3.818241403596674306e-03
3.099999999999999978e-01,4.868160563022710767e-03
3.200000000000000067e-01,5.758166785483429494e-03
3.300000000000000155e-01,6.477624629001819782e-03
3.400000000000000244e-01,7.185342046164337922e-03
3.500000000000000333e-01,7.930321441505129923e-03
3.599999999999999867e-01,8.542297983701652164e-03
3.699999999999999956e-01,9.143633516839538150e-03
3.800000000000000044e-01,9.795642716568950248e-03
3.900000000000000133e-01,1.041378909821058518e-02
4.000000000000000222e-01,1.098165460318429980e-02
4.100000000000000311e-01,1.147486406135655827e-02
4.199999999999999845e-01,1.202214534581090566e-02
4.299999999999999933e-01,1.252030355940926716e-02
4.400000000000000022e-01,1.303907972172693719e-02
4.500000000000000111e-01,1.349416223826900747e-02
4.600000000000000200e-01,1.376337813135625199e-02
4.700000000000000289e-01,1.402543285308763092e-02
4.799999999999999822e-01,1.440981097708207356e-02
4.899999999999999911e-01,1.473284483550553643e-02
5.000000000000000000e-01,1.497202463301853213e-02
5.100000000000000089e-01,1.507456357817714247e-02
5.200000000000000178e-01,1.510579463468152313e-02
5.300000000000000266e-01,1.512745119870626681e-02
5.400000000000000355e-01,1.510463089430817002e-02
5.500000000000000444e-01,1.514098914994623478e-02
5.600000000000000533e-01,1.510862955358241617e-02
5.700000000000000622e-01,1.487434006656381327e-02
5.799999999999999600e-01,1.454222318167975800e-02
5.899999999999999689e-01,1.428904192083636435e-02
5.999999999999999778e-01,1.405918314312470246e-02
6.099999999999999867e-01,1.382217891505002280e-02
6.199999999999999956e-01,1.351125159674568081e-02
6.300000000000000044e-01,1.312879152817207976e-02
6.400000000000000133e-01,1.268105811203877088e-02
6.500000000000000222e-01,1.222244061062409404e-02
6.600000000000000311e-01,1.179827574399999746e-02
6.700000000000000400e-01,1.144935124134068699e-02
6.800000000000000488e-01,1.107640944508870261e-02
6.900000000000000577e-01,1.060596924756467864e-02
7.000000000000000666e-01,1.002328333335007066e-02
7.099999999999999645e-01,9.424714202794184925e-03
7.199999999999999734e-01,8.887352313432335046e-03
7.299999999999999822e-01,8.382092105788765610e-03
7.399999999999999911e-01,7.776617947899631608e-03
7.500000000000000000e-01,7.211406110358387425e-03
7.600000000000000089e-01,6.794455991357467931e-03
7.700000000000000178e-01,6.331603515981902054e-03
7.800000000000000266e-01,5.845801397528330862e-03
7.900000000000000355e-01,5.341195886668183290e-03
8.000000000000000444e-01,4.730873362051516394e-03
8.100000000000000533e-01,4.108841218782566945e-03
8.200000000000000622e-01,3.581880049999682306e-03
8.300000000000000711e-01,3.078375185097455974e-03
8.399999999999999689e-01,2.587585999479935766e-03
8.499999999999999778e-01,2.066787299216263796e-03
8.599999999999999867e-01,1.517301679769099496e-03
8.699999999999999956e-01,9.019285050913032837e-04
8.800000000000000044e-01,3.304846443549927862e-04
8.900000000000000133e-01,-1.510412217977903995e-04
9.000000000000000222e-01,-5.810981546709533983e-04
9.100000000000000311e-01,-9.948744180546288673e-04
9.200000000000000400e-01,-1.474046251806487460e-03
9.300000000000000488e-01,-2.048371476186592547e-03
9.400000000000000577e-01,-2.605594862521373040e-03
9.500000000000000666e-01,-3.119526159144113322e-03
9.599999999999999645e-01,-3.601419748161514313e-03
9.699999999999999734e-01,-4.093132043395393375e-03
9.799999999999999822e-01,-4.615236639955168710e-03
